date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:26	37570/37570	---M--	200	added ('OK')	image/png	etag:%224e4323fbaa5d01:0%22	https://portal.unaab.edu.ng/images/object113233693.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/object113233693.png	(from https://portal.unaab.edu.ng/style.css)
21:20:29	1553/1553	---M--	200	added ('OK')	image/png	etag:%22bd7121fbaa5d01:0%22	https://portal.unaab.edu.ng/images/header.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/header.png	(from https://portal.unaab.edu.ng/style.css)
21:20:30	99/99	---M--	200	added ('OK')	image/png	etag:%2230c22fbaa5d01:0%22	https://portal.unaab.edu.ng/images/menuseparator.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/menuseparator.png	(from https://portal.unaab.edu.ng/style.css)
21:20:32	43/43	---M--	200	added ('OK')	image/gif	etag:%22282233fbaa5d01:0%22	https://portal.unaab.edu.ng/images/spacer.gif	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/spacer.gif	(from https://portal.unaab.edu.ng/style.css)
21:20:33	94/94	---M--	200	added ('OK')	image/png	etag:%227e34efbaa5d01:0%22	https://portal.unaab.edu.ng/images/blockbullets.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/blockbullets.png	(from https://portal.unaab.edu.ng/style.css)
21:20:34	798/798	---M--	200	added ('OK')	image/png	etag:%22a0ef2ffbaa5d01:0%22	https://portal.unaab.edu.ng/images/searchicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/searchicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:35	175/175	---M--	200	added ('OK')	image/png	etag:%22f4ec26fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postdateicon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postdateicon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:36	298/298	---M--	200	added ('OK')	image/png	etag:%224a7d24fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postauthoricon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postauthoricon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:37	358/358	---M--	200	added ('OK')	image/png	etag:%22ece828fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postpdficon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postpdficon.png	(from https://portal.unaab.edu.ng/style.css)
21:20:38	371/371	---M--	200	added ('OK')	image/png	etag:%222d8529fbaa5d01:0%22	https://portal.unaab.edu.ng/images/postprinticon.png	C:/Users/USER/Desktop/funaab%20portal/portal.unaab.edu.ng/images/postprinticon.png	(from https://portal.unaab.edu.ng/style.css)
